X,Y,Z,Red,Green,Blue
412440.92341,4265863.19910,2171.63441,206,215,214
412445.69866,4265863.37723,2171.75378,62,24,13
412444.75759,4265863.49203,2170.87485,70,72,69
412444.70881,4265863.45398,2170.86600,70,72,69
412441.52813,4265863.24590,2170.77232,208,217,216
412440.38960,4265863.24965,2170.68617,69,84,87
412439.89606,4265863.22159,2170.59536,152,161,160
412443.29163,4265863.38636,2170.37359,168,174,174
412444.41548,4265863.45490,2170.12566,200,202,191
412439.59197,4265863.11656,2170.12683,163,172,171
412440.99332,4265863.21381,2169.91646,174,180,176
412443.89353,4265863.40171,2169.70125,46,36,34
412446.30976,4265863.52604,2169.22814,36,27,28
412446.40822,4265863.40379,2169.16758,89,73,57
412441.33470,4265863.18824,2169.68008,50,41,36
412442.93208,4265863.28643,2169.47820,162,145,138
412442.97275,4265863.32110,2169.46954,162,145,138
412441.45953,4265863.17009,2169.60608,184,175,160
412441.39613,4265863.15683,2169.52938,66,49,42
412442.51283,4265863.28807,2169.38740,150,137,121
412442.44180,4265863.28443,2169.27992,64,51,45
412442.38904,4265863.35360,2169.23517,149,130,113
412440.69029,4265863.14747,2169.37596,110,91,74
412443.04179,4265863.33522,2168.98463,166,154,138
412444.53179,4265860.91552,2168.97401,107,99,96
412443.14171,4265862.27246,2168.93133,81,69,45
412444.22096,4265862.86592,2168.90190,142,131,125
412442.47393,4265861.10585,2168.95068,79,74,52
412439.78225,4265862.66438,2169.21682,7,10,15
412441.17250,4265862.40429,2168.93524,65,70,40
412441.66955,4265861.38498,2168.90934,67,65,42
412441.84629,4265860.79939,2168.97005,51,44,26
412440.78976,4265861.46026,2168.94307,160,155,149
412441.10804,4265861.01357,2168.94687,98,90,87
412439.87093,4265862.19609,2168.90851,112,112,110
412440.30864,4265861.45891,2168.92962,142,141,136
412439.86676,4265861.03060,2168.91928,161,152,147
412439.20608,4265861.92319,2168.88693,145,146,141
412439.38970,4265861.53796,2168.89601,135,128,122
412439.07163,4265861.79026,2168.90250,125,122,117
412439.81110,4265861.18049,2168.82505,152,154,151
412439.90589,4265860.06830,2168.93288,75,69,55
412439.41709,4265860.51392,2168.92358,50,51,35
412439.99921,4265859.48061,2168.91070,37,33,24
412438.64928,4265861.28640,2168.84580,66,67,72
412438.96225,4265860.56366,2168.94809,86,82,79
412438.66753,4265860.88053,2168.88245,83,84,88
412442.63504,4265863.79082,2173.42328,126,94,73
412441.75076,4265862.94421,2172.89911,49,18,13
412439.45378,4265862.68531,2172.18603,122,87,67
412439.97624,4265863.14649,2171.72201,198,207,204
412440.93410,4265863.20526,2171.53206,173,175,174
412440.12820,4265863.11807,2170.94936,143,127,102
412443.39917,4265863.41347,2171.01279,178,187,186
412441.42929,4265863.25927,2170.65858,187,193,191
412442.55657,4265863.32299,2170.66499,180,189,188
412444.97066,4265863.51321,2170.28550,32,36,39
412440.20940,4265863.10567,2170.37207,169,172,165
412444.83961,4265863.45384,2170.13260,198,194,182
412442.54522,4265863.31568,2170.18063,186,191,187
412441.22949,4265863.23963,2170.17823,192,201,198
412439.74894,4265863.12398,2170.14553,140,146,146
412439.82795,4265863.13176,2170.08680,194,203,202
412439.88973,4265863.15460,2169.97438,154,160,160
412441.66807,4265862.98018,2169.45452,64,30,18
412441.06336,4265863.18140,2169.48920,185,178,168
412441.08827,4265863.20996,2169.48257,185,178,168
412440.49520,4265863.11372,2169.53682,85,68,58
412439.87506,4265863.03875,2169.43882,151,125,98
412442.27830,4265863.24320,2168.89417,36,27,28
412441.20641,4265862.65653,2168.93454,48,44,41
412441.94654,4265861.36315,2168.92923,129,124,95
412441.45267,4265861.86357,2168.90766,50,58,37
412441.17867,4265861.42510,2168.94757,160,153,143
412441.38786,4265861.18126,2168.93151,169,160,145
412440.98701,4265861.18191,2168.95800,106,95,89
412439.96418,4265862.19134,2168.92938,160,165,161
412439.80482,4265862.46652,2168.90668,140,140,138
412440.56144,4265861.34934,2168.93372,115,107,104
412440.40191,4265861.24818,2168.91453,156,155,150
412439.81814,4265861.72216,2168.87480,119,118,114
412439.55957,4265861.59370,2168.88395,154,151,146
