"X","Y","Z","Red","Green","Blue"
412350.11,4265848.86,2173.35,0,0,0
412351.38,4265849.45,2173.38,0,0,0
412351.17,4265850.46,2173.42,0,0,0
412349.91,4265849.87,2173.38,0,0,0
412348.65,4265849.28,2173.36,0,0,0
412349.20,4265849.94,2173.38,0,0,0
412350.47,4265850.54,2173.42,0,0,0
412350.54,4265851.62,2173.46,0,0,0
412349.26,4265851.02,2173.42,0,0,0
412348.51,4265851.15,2173.42,0,0,0
412349.78,4265851.74,2173.44,0,0,0
412351.04,4265852.34,2173.47,0,0,0
412351.46,4265853.67,2173.52,0,0,0
412350.21,4265853.09,2173.52,0,0,0
412348.95,4265852.50,2173.49,0,0,0
412349.14,4265853.07,2173.51,0,0,0
412350.39,4265853.66,2173.52,0,0,0
412351.66,4265854.25,2173.52,0,0,0
412351.31,4265855.23,2173.56,0,0,0
412350.04,4265854.63,2173.58,0,0,0
412348.76,4265854.04,2173.55,0,0,0
412350.05,4265855.12,2173.57,0,0,0
412348.82,4265854.54,2173.57,0,0,0
412351.29,4265855.70,2173.57,0,0,0
412351.19,4265859.96,2176.63,0,0,0
412349.95,4265859.38,2176.69,0,0,0
412349.17,4265859.48,2176.82,0,0,0
412350.43,4265860.07,2176.78,0,0,0
412351.21,4265861.56,2177.07,0,0,0
412349.97,4265860.98,2177.11,0,0,0
412348.71,4265860.40,2177.17,0,0,0
412348.99,4265861.04,2177.28,0,0,0
412350.23,4265861.62,2177.24,0,0,0
412351.49,4265862.21,2177.17,0,0,0
412351.27,4265863.27,2177.55,0,0,0
412350.03,4265862.69,2177.60,0,0,0
412348.77,4265862.09,2177.65,0,0,0
412348.86,4265862.62,2177.75,0,0,0
412350.11,4265863.20,2177.69,0,0,0
412351.36,4265863.79,2177.67,0,0,0
412351.43,4265864.94,2177.98,0,0,0
412350.20,4265864.37,2178.05,0,0,0
412348.95,4265863.78,2178.08,0,0,0
412349.97,4265864.77,2178.17,0,0,0
412351.25,4265865.37,2178.13,0,0,0
412351.57,4265866.63,2177.96,0,0,0
412350.33,4265866.06,2177.92,0,0,0
412349.91,4265866.38,2177.74,0,0,0
412351.16,4265866.96,2177.78,0,0,0
412350.46,4265867.75,2177.46,0,0,0
412349.20,4265867.16,2177.42,0,0,0
412348.52,4265867.34,2177.25,0,0,0
412349.80,4265867.95,2177.31,0,0,0
412351.05,4265868.54,2177.32,0,0,0
412350.59,4265869.52,2177.01,0,0,0
412349.33,4265868.92,2176.96,0,0,0
412348.39,4265869.02,2176.78,0,0,0
412349.66,4265869.61,2176.78,0,0,0
412350.89,4265870.19,2176.83,0,0,0
412351.47,4265875.65,2173.56,0,0,0
412350.87,4265876.61,2173.50,0,0,0
412349.63,4265876.04,2173.53,0,0,0
412348.96,4265876.30,2173.49,0,0,0
412350.21,4265876.88,2173.44,0,0,0
412351.46,4265877.46,2173.42,0,0,0
412350.62,4265878.20,2173.33,0,0,0
412349.37,4265877.62,2173.38,0,0,0
412349.04,4265878.03,2173.34,0,0,0
412350.27,4265878.59,2173.30,0,0,0
412351.52,4265879.19,2173.27,0,0,0
412351.59,4265880.45,2173.19,0,0,0
412350.34,4265879.86,2173.24,0,0,0
412349.10,4265879.28,2173.28,0,0,0
412349.16,4265879.92,2173.22,0,0,0
412350.41,4265880.52,2173.17,0,0,0
412351.66,4265881.09,2173.13,0,0,0
412350.68,4265881.86,2173.11,0,0,0
412349.43,4265881.28,2173.15,0,0,0
412349.32,4265881.75,2173.10,0,0,0
412350.57,4265882.34,2173.11,0,0,0
412351.34,4265883.95,2173.05,0,0,0
412350.09,4265883.37,2173.10,0,0,0
412348.82,4265882.78,2173.10,0,0,0
412348.61,4265883.25,2173.07,0,0,0
412349.86,4265883.83,2173.06,0,0,0
412351.12,4265884.42,2173.02,0,0,0
412350.53,4265890.69,2172.90,0,0,0
412350.61,4265891.40,2172.88,0,0,0
412350.61,4265892.49,2172.92,0,0,0
412349.34,4265891.88,2172.88,0,0,0
412349.24,4265892.46,2172.90,0,0,0
412350.49,4265893.05,2172.90,0,0,0
412350.83,4265894.30,2172.90,0,0,0
412349.58,4265893.71,2172.94,0,0,0
412349.25,4265894.19,2173.04,0,0,0
412350.47,4265894.75,2172.90,0,0,0
412349.82,4265895.58,2172.94,0,0,0
412351.06,4265896.16,2172.99,0,0,0
412348.58,4265895.00,2173.10,0,0,0
412349.34,4265895.90,2172.90,0,0,0
412350.60,4265896.50,2172.96,0,0,0
412351.53,4265898.00,2172.94,0,0,0
412350.28,4265897.42,2172.92,0,0,0
412349.04,4265896.84,2172.94,0,0,0
412349.52,4265897.63,2172.94,0,0,0
412350.77,4265898.23,2172.96,0,0,0
412350.76,4265899.21,2172.96,0,0,0
412349.51,4265898.63,2172.96,0,0,0
412349.77,4265899.31,2172.99,0,0,0
412351.02,4265899.88,2172.94,0,0,0
412351.30,4265901.00,2172.98,0,0,0
412350.03,4265900.40,2172.94,0,0,0
412348.78,4265899.82,2172.98,0,0,0
412348.69,4265900.36,2172.94,0,0,0
412349.99,4265900.96,2172.92,0,0,0
